id;full_code;section_code;section_name;subsection_code;subsection_name;equipment_type;item_name
1378;1.1.1;1;Комплекс оснащения общешкольных помещений;1;Входная зона;Основное;Государственный флаг России на напольном флагштоке/мачте
1379;1.1.2;1;Комплекс оснащения общешкольных помещений;1;Входная зона;Основное;Большой герб Российской Федерации
1380;1.1.3;1;Комплекс оснащения общешкольных помещений;1;Входная зона;Основное;Флаг субъекта Российской Федерации на напольном флагштоке/мачте
1381;1.1.4;1;Комплекс оснащения общешкольных помещений;1;Входная зона;Основное;Стенд информационный
1382;1.1.5;1;Комплекс оснащения общешкольных помещений;1;Входная зона;Основное;Стойка ресепшн/охрана
1383;1.1.6;1;Комплекс оснащения общешкольных помещений;1;Входная зона;Основное;Кресло офисное
1384;1.1.7;1;Комплекс оснащения общешкольных помещений;1;Входная зона;Основное;Аптечка универсальная для оказания первой медицинской помощи
1385;1.1.8;1;Комплекс оснащения общешкольных помещений;1;Входная зона;Дополнительное;Малый герб Российской Федерации
1386;1.1.9;1;Комплекс оснащения общешкольных помещений;1;Входная зона;Дополнительное;Места для сидения, отдыха и ожидания во входной зоне (диван модульный, кресло модульное/пуф, банкетка)
1387;1.1.10;1;Комплекс оснащения общешкольных помещений;1;Входная зона;Дополнительное;Экобокс для раздельного сбора отходов
1388;1.1.11;1;Комплекс оснащения общешкольных помещений;1;Входная зона;Основное;Жидкокристаллическая панель с медиаплеером/интерактивная панель
1389;1.1.12;1;Комплекс оснащения общешкольных помещений;1;Входная зона;Дополнительное;Интерактивная стойка со встроенным планшетом для интерактивной навигации и визуализации информации
1390;1.1.13;1;Комплекс оснащения общешкольных помещений;1;Входная зона;Дополнительное;Стойка для зарядки мобильных устройств
1391;1.1.14;1;Комплекс оснащения общешкольных помещений;1;Входная зона;Дополнительное;Источник бесперебойного питания
1392;1.1.15;1;Комплекс оснащения общешкольных помещений;1;Входная зона;Дополнительное;Бесконтактный напольный диспенсер с функцией автоматической дезинфекции рук
1393;1.1.16;1;Комплекс оснащения общешкольных помещений;1;Входная зона;Основное;Видеокамера внутреннего наблюдения
1394;1.1.17;1;Комплекс оснащения общешкольных помещений;1;Входная зона;Основное;Охранная сигнализация
1395;1.1.18;1;Комплекс оснащения общешкольных помещений;1;Входная зона;Основное;Электронная проходная через турникет
1396;1.1.19;1;Комплекс оснащения общешкольных помещений;1;Входная зона;Основное;Преграждающие планки и стойки
1397;1.1.20;1;Комплекс оснащения общешкольных помещений;1;Входная зона;Основное;Арочный металлодетектор
1398;1.1.21;1;Комплекс оснащения общешкольных помещений;1;Входная зона;Основное;Автоматизированное рабочее место оператора системы охраны и видеонаблюдения, лицензионное программное обеспечение
1399;1.1.22;1;Комплекс оснащения общешкольных помещений;1;Входная зона;Основное;Система контроля и управления доступом (СКУД) (в случае отсутствия в проектной документации)
1400;1.1.23;1;Комплекс оснащения общешкольных помещений;1;Входная зона;Основное;Электронное табло (бегущая строка)
1401;1.1.24;1;Комплекс оснащения общешкольных помещений;1;Входная зона;Дополнительное;Пособия наглядной экспозиции по охране зданий и оповещения
1402;1.2.1;1;Комплекс оснащения общешкольных помещений;2;Гардероб;Основное;Секция вешалок/крючков для одежды
1403;1.2.2;1;Комплекс оснащения общешкольных помещений;2;Гардероб;Основное;Ячейки для хранения обуви
1404;1.2.3;1;Комплекс оснащения общешкольных помещений;2;Гардероб;Основное;Скамейка для переодевания
1405;1.2.4;1;Комплекс оснащения общешкольных помещений;2;Гардероб;Дополнительное;Зеркало большое травмобезопасное
1406;1.3.1;1;Комплекс оснащения общешкольных помещений;3;Библиотечно-информационный центр (с возможностью проведения онлайн-трансляций);Основное;Стол с ящиками для хранения/тумбой
1407;1.3.2;1;Комплекс оснащения общешкольных помещений;3;Библиотечно-информационный центр (с возможностью проведения онлайн-трансляций);Основное;Кресло офисное
1408;1.3.3;1;Комплекс оснащения общешкольных помещений;3;Библиотечно-информационный центр (с возможностью проведения онлайн-трансляций);Основное;Стеллажи библиотечные
1409;1.3.4;1;Комплекс оснащения общешкольных помещений;3;Библиотечно-информационный центр (с возможностью проведения онлайн-трансляций);Основное;Шкаф закрытый для хранения учебного оборудования
1410;1.3.5;1;Комплекс оснащения общешкольных помещений;3;Библиотечно-информационный центр (с возможностью проведения онлайн-трансляций);Основное;Шкаф для газет и журналов
1411;1.3.6;1;Комплекс оснащения общешкольных помещений;3;Библиотечно-информационный центр (с возможностью проведения онлайн-трансляций);Основное;Стол для выдачи пособий
1412;1.3.7;1;Комплекс оснащения общешкольных помещений;3;Библиотечно-информационный центр (с возможностью проведения онлайн-трансляций);Основное;Шкаф для читательских формуляров
1413;1.3.8;1;Комплекс оснащения общешкольных помещений;3;Библиотечно-информационный центр (с возможностью проведения онлайн-трансляций);Основное;Каталожный шкаф
1414;1.3.9;1;Комплекс оснащения общешкольных помещений;3;Библиотечно-информационный центр (с возможностью проведения онлайн-трансляций);Основное;Стол ученический, регулируемый по высоте/стол ученический, нерегулируемый по высоте в соответствии с ростовой группой
1415;1.3.10;1;Комплекс оснащения общешкольных помещений;3;Библиотечно-информационный центр (с возможностью проведения онлайн-трансляций);Основное;Стол ученический модульный, регулируемый по высоте
1416;1.3.11;1;Комплекс оснащения общешкольных помещений;3;Библиотечно-информационный центр (с возможностью проведения онлайн-трансляций);Основное;Стул ученический, регулируемый по высоте/стул ученический, нерегулируемый по высоте в соответствии с ростовой группой
1417;1.3.12;1;Комплекс оснащения общешкольных помещений;3;Библиотечно-информационный центр (с возможностью проведения онлайн-трансляций);Основное;Кресло для чтения
1418;1.3.13;1;Комплекс оснащения общешкольных помещений;3;Библиотечно-информационный центр (с возможностью проведения онлайн-трансляций);Основное;Сетевой фильтр
1419;1.3.14;1;Комплекс оснащения общешкольных помещений;3;Библиотечно-информационный центр (с возможностью проведения онлайн-трансляций);Основное;Электронная библиотека
1420;1.3.15;1;Комплекс оснащения общешкольных помещений;3;Библиотечно-информационный центр (с возможностью проведения онлайн-трансляций);Основное;Персональный компьютер с периферией (лицензионное программное обеспечение, образовательный контент, система защиты от вредоносной информации, автоматизированная информационно-библиотечная система (АИБС)
1421;1.3.16;1;Комплекс оснащения общешкольных помещений;3;Библиотечно-информационный центр (с возможностью проведения онлайн-трансляций);Основное;Многофункциональное устройство/принтер
1422;1.3.17;1;Комплекс оснащения общешкольных помещений;3;Библиотечно-информационный центр (с возможностью проведения онлайн-трансляций);Основное;Сканер штрих-кода
1423;1.3.18;1;Комплекс оснащения общешкольных помещений;3;Библиотечно-информационный центр (с возможностью проведения онлайн-трансляций);Основное;Принтер этикеток
1424;1.3.19;1;Комплекс оснащения общешкольных помещений;3;Библиотечно-информационный центр (с возможностью проведения онлайн-трансляций);Дополнительное;Стойка для зарядки мобильных устройств
1425;1.3.20;1;Комплекс оснащения общешкольных помещений;3;Библиотечно-информационный центр (с возможностью проведения онлайн-трансляций);Основное;Интерактивная доска (с потолочным проектором с ультракоротким фокусом с креплением в комплекте, программное обеспечение)/интерактивная панель (программное обеспечение в комплекте) с возможностью проведения онлайн-трансляций
1426;1.3.21;1;Комплекс оснащения общешкольных помещений;3;Библиотечно-информационный центр (с возможностью проведения онлайн-трансляций);Основное;Тележка-хранилище ноутбуков/планшетов с системой подзарядки в комплекте с ноутбуками/планшетами (лицензионное программное обеспечение, образовательный контент, система защиты от вредоносной информации)/компьютер ученика (лицензионное программное обеспечение, образовательный контент, система защиты от вредоносной информации)
